高度_km,马赫数,静态温度_K,静态温度_C,静态压力_Pa,静态压力_kPa,静态压力_atm,密度_kg_m3,声速_m_s,飞行速度_m_s,飞行速度_km_h,总温_K,总温_C,总压_Pa,总压_kPa,总压_atm,动压_Pa,动压_kPa,动力粘度_Pa_s,运动粘度_m2_s,雷诺数_m
3.0,0.5,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,164.2887,591.4394,282.0825,8.9325,83163.53,83.1635,0.82076,12268.98,12.269,1.694e-05,1.86294e-05,8818798.84
3.0,0.7,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,230.0042,828.0151,294.9777,21.8277,97247.52,97.2475,0.959758,24047.2,24.0472,1.694e-05,1.86294e-05,12346318.37
3.0,0.85,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,279.2908,1005.4469,307.4699,34.3199,112441.24,112.4412,1.109709,35457.35,35.4573,1.694e-05,1.86294e-05,14991958.02
3.0,0.95,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,312.1486,1123.7348,317.1413,43.9913,125314.5,125.3145,1.236758,44291.01,44.291,1.694e-05,1.86294e-05,16755717.79
3.0,1.0,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,328.5774,1182.8787,322.38,49.23,132710.33,132.7103,1.309749,49075.91,49.0759,1.694e-05,1.86294e-05,17637597.67
3.0,1.2,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,394.2929,1419.4545,346.0212,72.8712,170010.55,170.0106,1.677874,70669.32,70.6693,1.694e-05,1.86294e-05,21165117.21
3.0,1.5,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,492.8661,1774.3181,389.5425,116.3925,257370.26,257.3703,2.540047,110420.81,110.4208,1.694e-05,1.86294e-05,26456396.51
3.0,2.0,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,657.1549,2365.7575,483.57,210.42,548559.98,548.56,5.413866,196303.66,196.3037,1.694e-05,1.86294e-05,35275195.35
3.0,2.5,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,821.4436,2957.1969,604.4625,331.3125,1197868.56,1197.8686,11.822044,306724.46,306.7245,1.694e-05,1.86294e-05,44093994.18
3.0,3.0,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,985.7323,3548.6362,752.22,479.07,2575274.13,2575.2741,25.41598,441683.22,441.6832,1.694e-05,1.86294e-05,52912793.02
3.0,4.0,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,1314.3097,4731.515,1128.33,855.18,10644931.5,10644.9315,105.057306,785214.62,785.2146,1.694e-05,1.86294e-05,70550390.69
3.0,5.0,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,1642.8872,5914.3937,1611.9,1338.75,37093663.77,37093.6638,366.085998,1226897.84,1226.8978,1.694e-05,1.86294e-05,88187988.37
3.0,6.0,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,1971.4646,7097.2725,2202.93,1929.78,110692663.6,110692.6636,1092.451652,1766732.9,1766.7329,1.694e-05,1.86294e-05,105825586.04
3.0,8.0,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,2628.6194,9463.03,3707.37,3434.22,684458556.57,684458.5566,6755.080746,3140858.48,3140.8585,1.694e-05,1.86294e-05,141100781.39
3.0,10.0,268.65,-4.5,70108.45,70.1084,0.691917,0.909124,328.5774,3285.7743,11828.7875,5641.65,5368.5,2975348805.95,2975348.806,29364.409632,4907591.38,4907.5914,1.694e-05,1.86294e-05,176375976.73
5.0,0.1,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,32.0529,115.3904,256.1613,-16.9887,54398.87,54.3989,0.536875,378.14,0.3781,1.628e-05,2.21166e-05,1449265.44
5.0,0.3,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,96.1587,346.1712,260.2517,-12.8983,57500.3,57.5003,0.567484,3403.25,3.4032,1.628e-05,2.21166e-05,4347796.32
5.0,0.5,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,160.2645,576.952,268.4325,-4.7175,64078.95,64.079,0.63241,9453.46,9.4535,1.628e-05,2.21166e-05,7246327.2
5.0,0.7,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,224.3702,807.7328,280.7037,7.5537,74930.92,74.9309,0.739511,18528.79,18.5288,1.628e-05,2.21166e-05,10144858.08
5.0,0.85,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,272.4496,980.8185,292.5914,19.4414,86637.95,86.6379,0.85505,27320.51,27.3205,1.628e-05,2.21166e-05,12318756.24
5.0,0.95,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,304.5025,1096.2089,301.7948,28.6448,96557.01,96.557,0.952944,34127.0,34.127,1.628e-05,2.21166e-05,13768021.69
5.0,1.0,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,320.5289,1153.9041,306.78,33.63,102255.63,102.2556,1.009185,37813.85,37.8138,1.628e-05,2.21166e-05,14492654.41
5.0,1.2,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,384.6347,1384.6849,329.2772,56.1272,130996.1,130.9961,1.292831,54451.94,54.4519,1.628e-05,2.21166e-05,17391185.29
5.0,1.5,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,480.7934,1730.8561,370.6925,97.5425,198308.29,198.3083,1.957151,85081.16,85.0812,1.628e-05,2.21166e-05,21738981.61
5.0,2.0,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,641.0578,2307.8081,460.17,187.02,422675.06,422.6751,4.171478,151255.4,151.2554,1.628e-05,2.21166e-05,28985308.81
5.0,2.5,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,801.3223,2884.7602,575.2125,302.0625,922978.67,922.9787,9.109091,236336.56,236.3366,1.628e-05,2.21166e-05,36231636.01
5.0,3.0,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,961.5867,3461.7122,715.82,442.67,1984293.74,1984.2937,19.583457,340324.65,340.3246,1.628e-05,2.21166e-05,43477963.22
5.0,4.0,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,1282.1156,4615.6163,1073.73,800.58,8202105.85,8202.1058,80.948491,605021.59,605.0216,1.628e-05,2.21166e-05,57970617.62
5.0,5.0,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,1602.6445,5769.5204,1533.9,1260.75,28581316.51,28581.3165,282.075663,945346.24,945.3462,1.628e-05,2.21166e-05,72463272.03
5.0,6.0,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,1923.1735,6923.4244,2096.33,1823.18,85290632.76,85290.6328,841.753099,1361298.59,1361.2986,1.628e-05,2.21166e-05,86955926.43
5.0,8.0,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,2564.2313,9231.2326,3527.97,3254.82,527387285.53,527387.2855,5204.907827,2420086.38,2420.0864,1.628e-05,2.21166e-05,115941235.24
5.0,10.0,255.65,-17.5,54019.79,54.0198,0.533134,0.736116,320.5289,3205.2891,11539.0407,5368.65,5095.5,2292558278.7,2292558.2787,22625.791055,3781384.96,3781.385,1.628e-05,2.21166e-05,144926544.05
8.0,0.1,236.15,-37.0,35599.67,35.5997,0.351341,0.525167,308.0621,30.8062,110.9024,236.6223,-36.5277,35849.49,35.8495,0.353807,249.2,0.2492,1.527e-05,2.90707e-05,1059698.38
8.0,0.3,236.15,-37.0,35599.67,35.5997,0.351341,0.525167,308.0621,92.4186,332.7071,240.4007,-32.7493,37893.37,37.8934,0.373978,2242.78,2.2428,1.527e-05,2.90707e-05,3179095.14
